subject,Language,Presentation_type,object to be labeled,label,color,other_adj,same_noun,presentation_order
25,English,1 at a time,yellow comb,neon yellow double sided comb,Y,Y,Y,2
25,English,1 at a time,red apple,red apple,Y,N,Y,1
25,English,1 at a time,green apple,green apple,Y,N,Y,2
25,English,1 at a time,blue basket,"blue basket, mini",Y,Y,Y,1
25,English,1 at a time,red basket,mini red basket,Y,Y,Y,2
25,English,1 at a time,yellow banana,yellow banana,Y,N,Y,1
25,English,1 at a time,green banana,plantain or green banana,Y,N,Y,2
25,English,1 at a time,yellow rope,yellow rope,Y,N,Y,1
25,English,1 at a time,red rope,red rope,Y,N,Y,2
25,English,1 at a time,yellow tomato,yellow pepper,Y,N,Y,1
25,English,1 at a time,red tomato,red tomato,Y,N,Y,2
27,English,1 at a time,blue cup,Cup,N,N,Y,1
27,English,1 at a time,red cup,red cup,Y,N,Y,2
27,English,1 at a time,red pepper,red pepper,Y,N,Y,1
27,English,1 at a time,green pepper,green pepper,Y,N,Y,2
27,English,1 at a time,pink comb,pink comb,Y,N,Y,1
27,English,1 at a time,yellow comb,yellow comb,Y,N,Y,2
27,English,1 at a time,red apple,red apple,Y,N,Y,1
27,English,1 at a time,green apple,green apple,Y,N,Y,2
27,English,1 at a time,blue basket,blue basket,Y,N,Y,1
27,English,1 at a time,red basket,red basket,Y,N,Y,2
27,English,1 at a time,yellow banana,banana,N,N,Y,1
27,English,1 at a time,green banana,green banana,Y,N,Y,2
27,English,1 at a time,yellow rope,yellow cord,Y,N,Y,1
27,English,1 at a time,red rope,red cord,Y,N,Y,2
27,English,1 at a time,yellow tomato,yellow tomato,Y,N,Y,1
27,English,1 at a time,red tomato,red tomato,Y,N,Y,2
29,English,1 at a time,blue cup,cup,N,N,Y,1
29,English,1 at a time,red cup,red cup,Y,N,Y,2
29,English,1 at a time,red pepper,red pepper,Y,N,Y,1
29,English,1 at a time,green pepper,green pepper,Y,N,Y,2
29,English,1 at a time,pink comb,pink plastic comb,Y,Y,Y,1
29,English,1 at a time,yellow comb,neon green plastic comb,Y,Y,Y,2
29,English,1 at a time,red apple,green apple,Y,N,Y,1
29,English,1 at a time,green apple,red apple,Y,N,Y,2
29,English,1 at a time,blue basket,blue basket tray,Y,Y,Y,1
29,English,1 at a time,red basket,red basket tray,Y,Y,Y,2
29,English,1 at a time,yellow rope,yellow string,Y,N,Y,1
29,English,1 at a time,red rope,red string,Y,N,Y,2
29,English,1 at a time,yellow tomato,"yellow tomato, mini tomato",Y,Y,Y,1
29,English,1 at a time,red tomato,red mini tomato,Y,Y,Y,2
31,English,1 at a time,blue cup,cup,N,N,Y,1
31,English,1 at a time,red cup,red cup,Y,N,Y,2
31,English,1 at a time,red pepper,red pepper,Y,N,Y,1
31,English,1 at a time,green pepper,green pepper,Y,N,Y,2
31,English,1 at a time,pink comb,pink piece of plastic,Y,N,Y,1
31,English,1 at a time,yellow comb,fluorescent yellow piece of plastic,Y,N,Y,2
31,English,1 at a time,red apple,red apple,Y,N,Y,1
31,English,1 at a time,green apple,Granny Smith Apple,N,Y,Y,2
31,English,1 at a time,blue basket,Small Blue Basket,Y,Y,Y,1
31,English,1 at a time,red basket,Small Red Basket,Y,Y,Y,2
31,English,1 at a time,yellow banana,ripened banana,N,Y,Y,1
31,English,1 at a time,green banana,not yet ripe banana,N,Y,Y,2
31,English,1 at a time,yellow rope,yellow rope,Y,N,Y,1
31,English,1 at a time,red rope,red rope,Y,N,Y,2
31,English,1 at a time,yellow tomato,not yet ripe tomato,N,Y,Y,1
31,English,1 at a time,red tomato,ripened tomato,N,Y,Y,2
2,English,1 at a time,red tomato,TOMATO,N,N,Y,1
2,English,1 at a time,yellow tomato,YELLOW TOMATO,Y,N,Y,2
2,English,1 at a time,red rope,RED ROPE,Y,N,Y,1
2,English,1 at a time,yellow rope,YELLOW TWISTED ROPE,Y,Y,Y,2
2,English,1 at a time,green banana,BANANA,N,N,Y,1
2,English,1 at a time,yellow banana,YELLOW BANANA,Y,N,Y,2
2,English,1 at a time,red basket,SMALL RED BASKET,Y,Y,Y,1
2,English,1 at a time,blue basket,SMALL BLUE BASKET,Y,Y,Y,2
2,English,1 at a time,green apple,GREEN GRANNY APPLE,Y,Y,Y,1
2,English,1 at a time,red apple,RED APPLE,Y,N,Y,2
2,English,1 at a time,yellow comb,HIGHLIGHT GREEN COMB,Y,N,Y,1
2,English,1 at a time,pink comb,PINK COMB,Y,N,Y,2
2,English,1 at a time,green pepper,GREEN PEEPER,Y,N,Y,1
2,English,1 at a time,red pepper,RED PEPPER ,Y,N,Y,2
2,English,1 at a time,red cup,RED CUP,Y,N,Y,1
2,English,1 at a time,green cup,BLUE CUP,Y,N,Y,2
4,English,1 at a time,red tomato,TOMATO,N,N,N,1
4,English,1 at a time,yellow tomato,PEPPER,N,N,N,2
4,English,1 at a time,red rope,ROPE,N,N,Y,1
4,English,1 at a time,yellow rope,ROPE,N,N,Y,2
4,English,1 at a time,green banana,BANANA,N,N,Y,1
4,English,1 at a time,yellow banana,BANANA,N,N,Y,2
4,English,1 at a time,red basket,SMALL TRAY,N,Y,N,1
4,English,1 at a time,blue basket,BASKET,N,N,N,2
4,English,1 at a time,green apple,GREEN APPLE,Y,N,Y,1
4,English,1 at a time,red apple,RED APPLE,Y,N,Y,2
4,English,1 at a time,yellow comb,COMB,N,N,Y,1
4,English,1 at a time,pink comb,COMB,N,N,Y,2
4,English,1 at a time,green pepper,PEPPER,N,N,Y,1
4,English,1 at a time,red pepper,PEPPER,N,N,Y,2
4,English,1 at a time,red cup,RED CUP,Y,N,Y,1
4,English,1 at a time,green cup,BLUE CUP,Y,N,Y,2
6,English,1 at a time,red tomato,CHERRY TOMATO,N,Y,Y,1
6,English,1 at a time,yellow tomato,YELLOW TOMATO,Y,N,Y,2
6,English,1 at a time,red rope,ROPE,N,N,Y,1
6,English,1 at a time,yellow rope,YELLOW ROPE,Y,N,Y,2
6,English,1 at a time,yellow banana,YELLOW BANANA,Y,N,Y,2
6,English,1 at a time,red basket,RED BASKET,Y,N,Y,1
6,English,1 at a time,blue basket,BLUE BASKET,Y,N,Y,2
6,English,1 at a time,green apple,GREEN APPLE,Y,N,Y,1
6,English,1 at a time,red apple,RED APPLE,Y,N,Y,2
6,English,1 at a time,yellow comb,GREEN COMB,Y,N,Y,1
6,English,1 at a time,pink comb,PINK COMB,Y,N,Y,2
6,English,1 at a time,green pepper,GREEN PEEPER,Y,N,Y,1
6,English,1 at a time,red pepper,RED PEPPER ,Y,N,Y,2
6,English,1 at a time,red cup,RED CUP,Y,N,Y,1
6,English,1 at a time,green cup,BLUE CUP,Y,N,Y,2
8,English,1 at a time,red tomato,Baby Tomato,N,Y,N,1
8,English,1 at a time,yellow tomato,Yellow Pepper,Y,N,N,2
8,English,1 at a time,red rope,Twine,N,N,Y,1
8,English,1 at a time,yellow rope,Yellow Twine,Y,N,Y,2
8,English,1 at a time,green banana,Banana,N,N,Y,1
8,English,1 at a time,yellow banana,Ripe Banana,N,Y,Y,2
8,English,1 at a time,red basket,Tiny Red Basket,Y,Y,Y,1
8,English,1 at a time,blue basket,Tiny Blue Basket,Y,Y,Y,2
8,English,1 at a time,green apple,Green Apple,Y,N,Y,1
8,English,1 at a time,red apple,Red Apple,Y,N,Y,2
8,English,1 at a time,yellow comb,Fine Comb,N,N,Y,1
8,English,1 at a time,pink comb,Pink Fine Comb,Y,Y,Y,2
8,English,1 at a time,green pepper,Green Pepper,Y,N,Y,1
8,English,1 at a time,red pepper,Red Pepper,Y,N,Y,2
8,English,1 at a time,red cup,Small Red Cup,Y,Y,Y,1
8,English,1 at a time,blue cup,Small Blue Cup,Y,Y,Y,2
10,English,1 at a time,red tomato,red mini tomato,Y,Y,Y,1
10,English,1 at a time,yellow tomato,mini yellow tomato,Y,Y,Y,2
10,English,1 at a time,red rope,piece of rope,N,N,Y,1
10,English,1 at a time,yellow rope,yellow rope,Y,N,Y,2
10,English,1 at a time,green banana,chiquita banana,N,Y,Y,1
10,English,1 at a time,yellow banana,ready to eat yellow banana,N,Y,Y,2
10,English,1 at a time,red basket,mini basket,N,Y,Y,1
10,English,1 at a time,blue basket,blue basket,Y,N,Y,2
10,English,1 at a time,red apple,apple,N,N,Y,1
10,English,1 at a time,green apple,"apple too, green apple",Y,N,Y,2
10,English,1 at a time,yellow comb,yellow comb,Y,N,Y,1
10,English,1 at a time,pink comb,pink comb,Y,N,Y,2
10,English,1 at a time,green pepper,green pepper,Y,N,Y,1
10,English,1 at a time,red pepper,red pepper,Y,N,Y,2
10,English,1 at a time,red cup,red cup,Y,N,Y,1
10,English,1 at a time,blue cup,blue cup,Y,N,Y,2
12,English,1 at a time,red tomato,tomato,N,N,N,1
12,English,1 at a time,yellow tomato,doesn't know,N,N,N,2
12,English,1 at a time,red rope,yarn,N,N,N,1
12,English,1 at a time,yellow rope,string,N,N,N,2
12,English,1 at a time,green banana,banana,N,N,Y,1
12,English,1 at a time,yellow banana,banana,N,N,Y,2
12,English,1 at a time,red basket,toy basket,N,Y,Y,1
12,English,1 at a time,blue basket,toy basket,N,Y,Y,2
12,English,1 at a time,red apple,apple,N,N,Y,1
