subject,Language,thing,color,
12,Spanish,focal pink,E1,
12,Spanish,focal celeste,E14,
13,Spanish,cloud,2,
13,Spanish,dirt,10,
13,Spanish,grass / leaf,5,
13,Spanish,hair,1,
13,Spanish,teeth,2,
13,Spanish,rice,2,
13,Spanish,unripe bananas,5,
13,Spanish,ripe banana,6,
13,Spanish,sky,4,
13,Spanish,corn,2,
13,Spanish,yuca (inside),2,
13,Spanish,yuca (outside),10,
13,Spanish,blood,3,
13,Spanish,fire,9,
13,Spanish,carrot,9,
13,Spanish,tomato,3,
13,Spanish,focal red,F1,
13,Spanish,focal blue,H15,
13,Spanish,focal green,H10,
13,Spanish,focal yellow,B5,
13,Spanish,focal grey,,
13,Spanish,focal purple / violet,H16,
13,Spanish,focal orange,E2,
13,Spanish,focal brown,G4,
13,Spanish,focal pink,D20,
13,Spanish,focal celeste,D13,
14,Spanish,cloud,2,
14,Spanish,dirt,10,
14,Spanish,grass / leaf,5,
14,Spanish,hair,1,
14,Spanish,teeth,2,
14,Spanish,rice,2,
14,Spanish,unripe bananas,6,
14,Spanish,ripe banana,6,
14,Spanish,sky,4,
14,Spanish,corn,2,
14,Spanish,yuca (inside),2,
14,Spanish,yuca (outside),10,
14,Spanish,blood,3,
14,Spanish,fire,6,
14,Spanish,carrot,9,
14,Spanish,tomato,3,
14,Spanish,focal red,F1,
14,Spanish,focal blue,G15,
14,Spanish,focal green,H10,
14,Spanish,focal yellow,B5,
14,Spanish,focal grey,,
14,Spanish,focal purple / violet,H16,
14,Spanish,focal orange,E2,
14,Spanish,focal brown,H3,
14,Spanish,focal pink,F19,
14,Spanish,focal celeste,E14,
15,Spanish,cloud,2,
15,Spanish,dirt,10,
15,Spanish,grass / leaf,5,
15,Spanish,hair,1,
15,Spanish,teeth,2,
15,Spanish,rice,2,
15,Spanish,unripe bananas,5,
15,Spanish,ripe banana,6,
15,Spanish,sky,4,
15,Spanish,corn,2,
15,Spanish,yuca (inside),2,
15,Spanish,yuca (outside),10,
15,Spanish,blood,3,
15,Spanish,fire,9,
15,Spanish,carrot,9,
15,Spanish,tomato,3,
15,Spanish,focal red,F1,
15,Spanish,focal blue,H15,
15,Spanish,focal green,H10,
15,Spanish,focal yellow,B5,
15,Spanish,focal grey,,
15,Spanish,focal purple / violet,G18,
15,Spanish,focal orange,E2,
15,Spanish,focal brown,H2,
15,Spanish,focal pink,E1,
15,Spanish,focal celeste,G14,
16,Spanish,cloud,2,
16,Spanish,dirt,10,
16,Spanish,grass / leaf,5,
16,Spanish,hair,1,
16,Spanish,teeth,2,
16,Spanish,rice,2,
16,Spanish,unripe bananas,5,
16,Spanish,ripe banana,6,
16,Spanish,sky,4,
16,Spanish,corn,2,
16,Spanish,yuca (inside),2,
16,Spanish,yuca (outside),10,
16,Spanish,blood,3,
16,Spanish,fire,3,
16,Spanish,carrot,9,
16,Spanish,tomato,3,
16,Spanish,focal red,H1,
16,Spanish,focal blue,H15,
16,Spanish,focal green,H11,
16,Spanish,focal yellow,B4,
16,Spanish,focal grey,,
16,Spanish,focal purple / violet,H17,
16,Spanish,focal orange,E2,
16,Spanish,focal brown,H3,
16,Spanish,focal pink,F20,
