subject,order,color_object label,response,Isabel Time,Rashida Time
1812,5,cup,vaso,1.47,1.43
1812,4,comb,petsi,0.86,0.75
1812,8,leaf,shan,1.36,1.1
1812,6,fan,fijfity,1.20,0.66
1812,7,stick,shIru',1.60,1.45
1812,2,rock,mij,1.10,1.08
1812,1,B4,12,3.56,3.6
1812,2,F13,chimdyes,18.60,17.21
1812,3,B13,2,2.76,2.26
1812,4,G4,5,3.69,3.6
1812,5,F1,3,1.40,0.9
1812,6,F5,12,4.55,4.21
1812,7,H9,5,2.18,1.86
1812,8,H7,1,2.28,1.55
1812,9,G14,5,4.20,3.9
1812,10,H17,8,2.15,2.05
1812,11,B1,7,12.43,12.91
1812,12,F17,8,2.66,2.23
1812,13,F9,5,1.73,1.51
1812,14,D5,12,2.12,1.76
1812,15,A16,2,1.27,1.44
1813,1,banana,pe're,1.86,1.7
1813,6,tomato,tomati,1.87,1.68
1813,3,cup,chequis,2.26,2.08
1813,7,comb,petsi,1.45,1.06
1813,5,leaf,shan,2.36,2.23
1813,4,fan,fijfity,1.47,1.18
1813,8,stick,shiru',2.29,1.73
1813,2,rock,mij,1.76,1.31
1813,1,F13,4,2.76,2.66
1813,2,B13,4,4.15,3.98
1813,3,G4,9,3.32,3.3
1813,4,F1,3,1.32,1.3
1813,5,F5,9,15.31,14.93
1813,6,H7,1,1.53,1.5
1813,7,G14,4,11.29,11.23
1813,8,H9,5,1.47,1.35
1813,9,B1,12,5.95,5.87
1813,10,F17,8,1.42,1.6
1813,11,F9,5,2.00,1.68
1813,12,D5,6,6.63,5.78
1813,13,H17,8,1.15,1.35
1813,14,A16,2,1.55,1.33
1813,15,B4,6,2.20,1.88
1814,2,banana,pe're,1.66,1.44
1814,3,tomato,tomati,1.63,1.28
1814,5,cup,vaso,1.88,1.78
1814,4,comb,petsi,1.64,1.31
1814,6,leaf,shan,2.81,3.1
1814,7,fan,fijfity,1.15,0.9
1814,8,stick,shuru',2.00,1.65
