subject,Language,Year,cloud,dirt,grass / leaf,hair,teeth,rice,unripe bananas,ripe banana,sky,corn,yuca (inside),yuca (outside),blood,fire,carrot,tomato
1521,Tsimane,2015,2,10,5,1,2,2,5,12,4,12,2,3,3,4,12,3
1522,Tsimane,2015,2,1,5,1,2,2,5,2,4,2,2,4,3,3,2,3
1601,Tsimane,2015,2,10,5,1,2,2,5,1,4,3,2,10,3,3,12,3
1602,Tsimane,2015,2,10,5,1,2,2,5,12,4,12,2,10,3,3,12,3
1603,Tsimane,2015,2,10,5,1,2,2,5,12,4,12,2,10,3,3,12,3
1604,Tsimane,2015,2,10,5,1,2,2,5,4,4,4,2,1,3,3,3,3
1605,Tsimane,2015,2,1,5,1,2,2,5,6,5,2,2,3,3,6,6,3
1606,Tsimane,2015,2,9,5,1,2,2,5,4,4,2,2,1,3,3,4,3
1607,Tsimane,2015,2,12,5,1,2,2,5,12,4,12,2,10,3,3,4,3
1608,Tsimane,2015,2,1,5,1,2,2,5,12,5,12,2,1,3,3,5,3
1609,Tsimane,2015,2,10,5,1,2,2,5,12,4,12,2,3,3,3,3,3
1610,Tsimane,2015,2,9,12,1,2,2,4,3,4,2,2,1,9,3,9,3
1611,Tsimane,2015,2,10,5,1,2,2,5,12,4,2,2,10,3,3,12,3
1612,Tsimane,2015,2,10,5,1,2,2,5,12,4,2,2,10,3,3,12,3
1523,Tsimane,2015,2,10,5,1,2,12,5,12,5,12,2,3,3,3,12,3
1524,Tsimane,2015,2,10,4,1,2,2,4,6,2,3,2,10,3,3,6,3
1525,Tsimane,2015,2,10,5,1,2,2,4,6,4,12,2,10,3,6,6,3
1526,Tsimane,2015,2,10,5,1,2,2,4,12,2,3,10,10,3,12,3,3
1527,Tsimane,2015,2,10,5,1,2,2,5,4,4,12,2,10,3,3,12,3
1528,Tsimane,2015,2,10,5,1,2,2,5,12,4,12,2,10,3,3,12,3
1529,Tsimane,2015,2,10,5,1,2,2,5,12,5,6,2,10,3,3,3,3
1530,Tsimane,2015,2,1,5,1,2,2,5,3,4,3,2,3,3,3,3,3
1531,Tsimane,2015,2,12,5,1,2,2,5,12,2,2,12,5,3,5,3,3
