subject,order,color_object label,response,Rashida Time,Isabel Time,Native_speaker,
2006,6,fan,reed fan,3.73,4.65,Y,
2006,7,banana,banana,1.33,2.26,Y,
2006,8,rock,rock,1.92,2.48,Y,
2006,1,B4,6,0.65,0.67,Y,
2006,2,H7,1,1,0.84,Y,
2006,3,H9,dark 5,1.52,1.47,Y,
2006,4,F17,8,1.43,1.64,Y,
2006,5,F13,teal,1.48,1.57,Y,
2006,6,D5,dark 6,2.05,2.04,Y,
2006,7,F1,3,1.3,1.47,Y,
2006,8,G4,10,1.35,1.18,Y,
2006,9,F5,cebia,2.56,2.65,Y,
2006,10,B1,11,1.26,1.45,Y,
2006,11,A16,2,1.34,1.62,Y,
2006,12,H17,8,1.6,1.65,Y,
2006,13,B13,sky 4,1.74,1.48,Y,
2006,14,G14,4,1.56,1.66,Y,
2006,15,F9,5,1.6,1.47,Y,
2007,1,cup,cup,1.25,2.06,Y,
2007,2,leaf,leaf,0.6,0.76,Y,
2007,3,fan,fan,17.2,15.07,Y,
2007,4,banana,banana,0.22,0.67,Y,
2007,5,rock,rock,0.9,1.36,Y,
2007,6,apple,apple,0.39,0.91,Y,
2007,7,comb,hairbrush,1.74,2.44,Y,
2007,8,stick,bamboo,2.54,4.08,Y,
2007,1,F9,5,0.8,1.07,Y,
2007,2,G14,4,1.14,2.5,Y,
2007,3,B13,light 4,2.04,1.48,Y,
2007,4,H17,8,0.8,0.72,Y,
2007,5,A16,2,1.27,1.31,Y,
2007,6,B1,11,1.82,2.01,Y,
2007,7,F5,gold,3.44,3.59,Y,
2007,8,G4,10,1.26,1.45,Y,
2007,9,F1,3,0.96,0.98,Y,
2007,10,H7,1,4.07,3.97,Y,
2007,11,F17,lilac,3.16,3.03,Y,
2007,12,D5,mustard,7.58,7.3,Y,
2007,13,F13,teal,1.86,2.01,Y,
2007,14,H9,dark 5,3.82,1.66,Y,
2007,15,B4,6,2.85,2.8,Y,
2008,1,apple,red aple,0.96,1.76,Y,
2008,2,leaf,leaf,1.08,1.71,Y,
2008,3,stick,bamboo,5.55,5.83,Y,
2008,4,fan,fan,4.94,5.43,Y,
2008,5,cup,cup,0.9,1.07,Y,
2008,6,banana,banana,0.52,1.24,Y,
2008,7,rock,rock,1.2,1.39,Y,
2008,8,comb,comb,2.6,2.87,Y,
2008,1,D5,olive 5,2.5,2.35,Y,
2008,2,B4,6,1.21,1.41,Y,
2008,3,F1,magenta,3.84,3.77,Y,
2008,4,G4,dark 7,4.5,3.98,Y,
2008,5,F5,olive 5,3.6,3.64,Y,
2008,6,H9,teal,3.7,3.78,Y,
2008,7,F17,8,1.55,1.6,Y,
2008,8,F9,5,2.14,2.01,Y,
2008,9,F13,cyan,3.69,3.72,Y,
2008,10,G14,4,1.61,1.47,Y,
2008,11,H7,7,3.16,3.22,Y,
2008,12,H17,8,1.39,1.44,Y,
2008,13,A16,2,1.44,1.32,Y,
2008,14,B1,light 11,2.6,2.7,Y,
2008,15,B13,light 4,4.1,3.81,Y,
2009,1,leaf,leaf,0.8,1.47,Y,
2009,2,banana,banana,0.22,0.8,Y,
2009,3,cup,cup,0.45,1.12,Y,
2009,4,fan,fan,1.47,2.39,Y,
2009,5,apple,apple,1.2,1.63,Y,
2009,6,comb,plastic cart,2.4,3.24,Y,
2009,7,stick,stick,4.18,4.85,Y,
2009,8,rock,rock,1.3,2.12,Y,
2009,1,H17,8,0.78,0.87,Y,
2009,2,F9,5,0.74,0.75,Y,
2009,3,B1,11,0.95,1.02,Y,
2009,4,D5,6,2.85,2.57,Y,
2009,5,G14,4,0.9,1.52,Y,
2009,6,F5,10,1.7,1.86,Y,
2009,7,F13,4,1.39,1.04,Y,
2009,8,G4,10,1.4,1.33,Y,
2009,9,F1,3,1.39,1.2,Y,
2009,10,A16,2,1.07,1.05,Y,
2009,11,H7,1,2.47,2.11,Y,
2009,12,B4,6,1.17,1.16,Y,
2009,13,F17,8,1.43,1.07,Y,
2009,14,H9,5,1.73,1.29,Y,
2009,15,B13,4,1,1.08,Y,
2010,1,cup,cup,1.2,1.99,Y,
2010,2,leaf,leaf,0.9,1.53,Y,
2010,3,apple,apple,0.74,1.04,Y,
2010,4,banana,banana,0.6,1.44,Y,
2010,5,rock,rock,0.7,1.86,Y,
2010,6,fan,fan,1.24,2.12,Y,
2010,7,stick,stick,0.9,1.86,Y,
2010,8,comb,comb,0.91,1.27,Y,
2010,1,H9,5,1.17,1.37,Y,
2010,2,F5,5,11.95,12,Y,
2010,3,F17,8,1.12,1.24,Y,
2010,4,B13,4,1.22,1.27,Y,
2010,5,B4,6,2.2,1.69,Y,
2010,6,H7,5,1.6,1.33,Y,
2010,7,A16,2,1.26,1.2,Y,
2010,8,F1,3,1.39,1.32,Y,
2010,9,G4,10,2.26,2.33,Y,
2010,10,F13,4,3.35,3.43,Y,
2010,11,G14,4,1.48,1.45,Y,
2010,12,D5,beige,3,3.08,Y,
2010,13,B1,11,2.04,2.62,Y,
2010,14,F9,5,1.5,1.45,Y,
2010,15,H17,8,1.3,1.56,Y,
2011,1,cup,cup,1.65,2.52,Y,
2011,2,banana,banna,0.5,1.16,Y,
2011,3,stick,stick,3.1,2.67,Y,
2011,4,leaf,leaf,1.27,1.04,Y,
2011,5,fan,woven fan,8.4,6.8,Y,
2011,6,apple,apple,2.38,3.78,Y,
2011,7,comb,comb,3.68,4.23,Y,
2011,8,rock,rock,1.6,1.63,Y,
2011,1,H7,1,1.5,1.61,Y,
2011,2,F17,8,4.9,1.39,Y,
2011,3,A16,2,1.12,1.15,Y,
2011,4,G4,10,2.46,2.99,Y,
2011,5,H17,4,1.52,1.6,Y,
2011,6,B4,6,1.2,1.05,Y,
2011,7,H9,1,3.12,3.22,Y,
2011,8,G14,4,1.36,1.41,Y,
2011,9,F5,10,6.87,7.14,Y,
2011,10,B13,light 4,4,3.26,Y,
2011,11,D5,tan gold,3.59,3.12,Y,
2011,12,F9,dark 5,1.38,1.4,Y,
2011,13,F13,4,1.52,1.19,Y,
2011,14,F1,3,1.23,1.76,Y,
2011,15,B1,11,1.3,1.1,Y,
2012,1,comb,comb,1.24,4.1,Y,
2012,2,cup,cup,0.52,1.2,Y,
2012,3,banana,banana,0.74,0.93,Y,
2012,4,leaf,leaf,1.22,1.08,Y,
2012,5,apple,apple,1.14,1.58,Y,
2012,6,rock,rock,1.4,2.32,Y,
2012,7,stick,"broken baseball bat, broken stick",12.99,22.8,Y,22.3
2012,8,fan,fan,1.75,2.06,Y,
2012,1,G4,10,1.9,1.82,Y,
2012,2,F13,4,1.12,1.64,Y,
2012,3,B13,very light 4,3.78,3.5,Y,
