subject,Language,thing,color,
27,English,focal brown,H3,
27,English,focal pink,E20,
28,English,cloud,2,
28,English,dirt,10,
28,English,grass / leaf,5,
28,English,hair,10,
28,English,teeth,2,
28,English,rice,2,
28,English,unripe bananas,5,
28,English,ripe banana,6,
28,English,sky,4,
28,English,corn,6,
28,English,yuca (inside),,
28,English,yuca (outside),,
28,English,blood,3,
28,English,fire,3,
28,English,carrot,9,
28,English,tomato,3,
28,English,focal red,F1,
28,English,focal blue,E14,
28,English,focal green,E8,
28,English,focal yellow,B5,
28,English,focal grey,A4,
28,English,focal purple / violet,G18,
28,English,focal orange,D3,
28,English,focal brown,G3,
28,English,focal pink,C20,
29,English,cloud,4,
29,English,dirt,10,
29,English,grass / leaf,5,
29,English,hair,10,
29,English,teeth,2,
29,English,rice,2,
29,English,unripe bananas,5,
29,English,ripe banana,6,
29,English,sky,4,
29,English,corn,6,
29,English,yuca (inside),2,
29,English,yuca (outside),10,
29,English,blood,3,
29,English,fire,9,
29,English,carrot,9,
29,English,tomato,3,
29,English,focal red,F1,
29,English,focal blue,E14,
29,English,focal green,E8,
29,English,focal yellow,B5,
29,English,focal grey,A15,
29,English,focal purple / violet,G17,
29,English,focal orange,D3,
29,English,focal brown,H4,
29,English,focal pink,D20,
